Ls,bias,bias_err
140.0,0.004426717948252624,9.059297892880886e-19
340.0,0.001119679641764592,2.2648244732202216e-19
540.0,-0.0003406881234065198,0.0
740.0,0.001163241515344364,2.2648244732202216e-19
940.0,0.0029981469220177574,0.0
1140.0,0.0013049430466166472,2.2648244732202216e-19
1340.0,-0.00015190606931252208,2.831030591525277e-20
1540.0,-0.00044275625980339564,0.0
1740.0,-0.0009334338999483788,0.0
1940.0,0.0005540289549484985,0.0
2140.0,-0.0006370411355233345,0.0
2340.0,0.0006680001020008046,2.2648244732202216e-19
2540.0,0.0004383066246510673,5.662061183050554e-20
2740.0,-0.0013365522893520488,0.0
2940.0,-0.0009550305762423031,0.0
3140.0,-0.00038240089149650815,5.662061183050554e-20
3340.0,-0.0009256766313474688,2.2648244732202216e-19
3540.0,0.0003108549396474104,0.0
3740.0,0.0004194338512788157,1.1324122366101108e-19
