Ls,noise_cl
140.0,4.92970436694883e-07
340.0,6.94412068096504e-07
540.0,7.655983372575427e-07
740.0,8.531756403746258e-07
940.0,9.693320293139138e-07
1140.0,1.1259100611352344e-06
1340.0,1.341520849664615e-06
1540.0,1.620685277146768e-06
1740.0,1.946671845171822e-06
1940.0,2.2953051957732477e-06
2140.0,2.657285629471964e-06
2340.0,3.090666947064547e-06
2540.0,3.6753289856329786e-06
2740.0,4.538678367000672e-06
2940.0,5.867055183461728e-06
3140.0,7.941350205133157e-06
3340.0,1.1275035240949822e-05
3540.0,1.677617778809911e-05
3740.0,2.608738230091011e-05
