Ls,reckap_x_reckap,reckap_x_reckap_err,bias,bias_err,norm,noise
140.0,3.020422905742683e-07,2.03203489328139e-08,-0.026007170012414392,0.19195386368060718,1.2721147732929187e-11,5.2322989970831946e-08
340.0,1.0760262853904252e-07,5.12588216400402e-09,-0.024070597773072744,0.11083840958300317,1.99669970309065e-12,5.623569788373188e-08
540.0,8.695185484779828e-08,3.738920276262724e-09,-0.01567300957579246,0.15683057550185756,7.745198952226117e-13,5.585774903864255e-08
740.0,7.714252491366699e-08,3.511838711446518e-09,-0.01586146257972151,0.23947761186568875,4.056771649349901e-13,5.512712878670739e-08
940.0,7.08386785104091e-08,2.8671018975984597e-09,-0.005081035214182602,0.28778866946466614,2.4545396354571866e-13,5.394661999955976e-08
1140.0,6.560554786702918e-08,2.1740644521217005e-09,-0.03436775332938488,0.29503049117909674,1.6204452673115646e-13,5.247962622591756e-08
1340.0,6.170972832282864e-08,1.8558375753893993e-09,-0.034262476805795986,0.3358854266378905,1.141020960915336e-13,5.107431771112265e-08
1540.0,5.852970257592244e-08,1.6507734519888984e-09,-0.04471283531180989,0.37554496777867524,8.385070133710463e-14,4.959559462480833e-08
1740.0,5.5798562204018164e-08,1.5386567617568214e-09,-0.05931329731544399,0.4318663864602123,6.388756930391222e-14,4.827523351968723e-08
1940.0,5.3774026573870854e-08,1.0321523556666816e-09,-0.052351583174919836,0.34944135304368046,5.046272999949037e-14,4.743003965722788e-08
2140.0,5.290369755952128e-08,8.930152950731491e-10,-0.03842995248185101,0.35974221168708437,4.121238166034672e-14,4.714593250196756e-08
2340.0,5.2845992064068745e-08,7.052990585039968e-10,-0.03388278967230712,0.33297393096878936,3.487839491396812e-14,4.772797561307343e-08
2540.0,5.413973290244367e-08,6.655502612856542e-10,-0.002754735359505987,0.3585793415646997,3.071448827925181e-14,4.9555028482910766e-08
2740.0,5.7896747409587084e-08,8.584167791786003e-10,-0.07266120025287613,0.528004314774405,2.8433014124676947e-14,5.340138316070964e-08
2940.0,6.401542053881671e-08,1.2775374318311194e-09,-0.08165310602238587,0.8881412270280985,2.7505211414511502e-14,5.950330305145265e-08
3140.0,7.256799119267596e-08,1.8789283274666655e-09,-0.023377612129683308,1.4660023525686274,2.77596659763769e-14,6.854391460663502e-08
3340.0,8.919267337208601e-08,2.2974135469024714e-09,-0.15687512005159798,1.989351941568449,3.007892985989212e-14,8.403109987052398e-08
3540.0,1.0650686973348836e-07,2.497569573925454e-09,-0.1934440481846681,2.4021293803023185,3.1803510738769885e-14,9.974823897218011e-08
3740.0,1.1876060396356192e-07,2.47622616853579e-09,-0.05313009488756806,2.6446041043741397,3.162228422688345e-14,1.1066343759691436e-07
